director,count_of_id,sum_vote_count,imdb_id,director_image
Aaron Schimberg,1,281.0,tt21097228,https://image.tmdb.org/t/p/w500/h3B3m62HD1YAyky3gWEIvOB7FN0.jpg
Adam Wingard,1,0.0,tt32268691,https://image.tmdb.org/t/p/w500/csunrewJCACuvM3Ntd9kIi31twa.jpg
Aidan Zamiri,1,0.0,tt35524793,https://image.tmdb.org/t/p/w500/xLJlwCqZyf5oNAphh2V0sNeCTrn.jpg
Alex Garland,3,4788.0,"tt13841850, tt17279496, tt32896542",https://image.tmdb.org/t/p/w500/qSWzYnDw68xm4i5xprH9BwQ6q25.jpg
"Alex Garland, Ray Mendoza",1,419.0,tt31434639,https://www.hollywoodreporter.com/wp-content/uploads/2025/04/FotoJet-2025-04-01T220926.245.jpg?w=1920&h=1080&crop=1
Alex Scharfman,1,257.0,tt28443655,https://image.tmdb.org/t/p/w500/pGZZRtkkqvTwgJjmymxdk3p9T46.jpg
Andrew Callaghan,1,52.0,tt23950956,https://image.tmdb.org/t/p/w500/vzmTmYUQX61CcPEGskNf2qDAFVk.jpg
Andrew DeYoung,1,5.0,tt19266900,https://image.tmdb.org/t/p/w500/3QVzpo0I8sIKP5In1XQio1naepb.jpg
Annie Baker,2,37.0,tt28366692,https://www.interviewmagazine.com/wp-content/uploads/2017/03/img-annie-baker_100716333085.jpg
Anthony Benna,1,0.0,tt34963034,https://deadline.com/wp-content/uploads/2025/03/Tony-Benna.jpg?crop=94px%2C12px%2C1909px%2C1070px&resize=681%2C383
Ari Aster,2,1129.0,"tt31176520, tt13521006",https://image.tmdb.org/t/p/w500/7ycICw9yVpk6bzTKLRiPd9eSfHA.jpg
Austin Peters,1,0.0,tt13206992,https://www.imdb.com/name/nm0676334/mediaviewer/rm993551105/?ref_=nmmi_mi_2
Azazel Jacobs,1,89.0,tt5770620,https://image.tmdb.org/t/p/w500/oIolEvy9ArYRVl0di2D7jfQJ6EN.jpg
Barry Jenkins,2,7173.0,"tt4975722, tt14004534",https://image.tmdb.org/t/p/w500/6nld5eQwiJmuLmyesk4EUeCaoo3.jpg
Benjamin Caron,1,586.0,tt12573454,https://image.tmdb.org/t/p/w500/87MIhTWrhTCX66u1GBcTcGRwhru.jpg
